SampleID	phylum_Actinobacteria	phylum_Bacteroidetes	phylum_Firmicutes	phylum_Proteobacteria	phylum_Verrucomicrobia	phylum_unclassified_Bacteria	class_Actinobacteria	class_Bacilli	class_Bacteroidia	class_Betaproteobacteria	class_Clostridia	class_Deltaproteobacteria	class_Erysipelotrichia	class_Gammaproteobacteria	class_Negativicutes	class_Verrucomicrobiae	class_unclassified_Bacteria	class_unclassified_Firmicutes	order_Bacteroidales	order_Burkholderiales	order_Clostridiales	order_Coriobacteriales	order_Desulfovibrionales	order_Enterobacteriales	order_Erysipelotrichales	order_Lactobacillales	order_Selenomonadales	order_Verrucomicrobiales	order_unclassified_Bacteria	order_unclassified_Firmicutes	family_Acidaminococcaceae	family_Bacteroidaceae	family_Clostridiaceae.1	family_Clostridiales_Incertae.Sedis.XIII	family_Coriobacteriaceae	family_Desulfovibrionaceae	family_Enterobacteriaceae	family_Erysipelotrichaceae	family_Lachnospiraceae	family_Peptostreptococcaceae	family_Porphyromonadaceae	family_Prevotellaceae	family_Rikenellaceae	family_Ruminococcaceae	family_Streptococcaceae	family_Sutterellaceae	family_Veillonellaceae	family_Verrucomicrobiaceae	family_unclassified_Bacteria	family_unclassified_Clostridiales	family_unclassified_Firmicutes	genus_Akkermansia	genus_Alistipes	genus_Anaerotruncus	genus_Anaerovorax	genus_Bacteroides	genus_Barnesiella	genus_Bilophila	genus_Blautia	genus_Butyricicoccus	genus_Butyricimonas	genus_Clostridium.IV	genus_Clostridium.XI	genus_Clostridium.XVIII	genus_Clostridium.XlVa	genus_Clostridium.XlVb	genus_Clostridium.sensu.stricto	genus_Collinsella	genus_Coprococcus	genus_Dorea	genus_Eggerthella	genus_Erysipelotrichaceae_incertae_sedis	genus_Faecalibacterium	genus_Flavonifractor	genus_Holdemania	genus_Lachnospiracea_incertae_sedis	genus_Odoribacter	genus_Oscillibacter	genus_Parabacteroides	genus_Parasutterella	genus_Phascolarctobacterium	genus_Prevotella	genus_Pseudoflavonifractor	genus_Roseburia	genus_Ruminococcus	genus_Streptococcus	genus_Veillonella	genus_unclassified_Bacteria	genus_unclassified_Clostridiales	genus_unclassified_Clostridiales_Incertae.Sedis.XIII	genus_unclassified_Coriobacteriaceae	genus_unclassified_Erysipelotrichaceae	genus_unclassified_Firmicutes	genus_unclassified_Lachnospiraceae	genus_unclassified_Porphyromonadaceae	genus_unclassified_Ruminococcaceae
ZM8YXDM-06	0.011021002	0.467872739	0.490538574	0.023428294	0.000415887	0.00665419	0.011021002	0.000207943	0.467872739	0.022527206	0.478963055	0.000346572	0.005059957	0.000554516	0.004990643	0.000415887	0.00665419	0.001316975	0.467872739	0.022527206	0.478963055	0.010951688	0.000346572	0.000554516	0.005059957	0.000207943	0.004990643	0.000415887	0.00665419	0.001316975	0.004921328	0.289942469	0	0.000138629	0.010951688	0.000346572	0.000554516	0.005059957	0.242531365	0.000138629	0.025230471	0.130935052	0.021764747	0.236085118	0.000138629	0.022527206	6.93E-05	0.000415887	0.00665419	6.93E-05	0.001316975	0.000415887	0.021764747	0	6.93E-05	0.289942469	0	0.000346572	0.03528107	0.001524919	0.000831774	0.001247661	0.000138629	0.003327095	0.003465724	0.000831774	0	0.008941568	0.000138629	0.003049837	0.000831774	0.001178346	0.207250295	0.002287378	0	0.103347889	0.001663548	0.007208706	0.022735149	0.022527206	0.004921328	0.000138629	0	0.039439939	0.007624593	6.93E-05	6.93E-05	0.00665419	6.93E-05	6.93E-05	0.001178346	0.000554516	0.001316975	0.056976502	0	0.008941568
ZM8YXDM-11	0.00148773	0.527048899	0.300407082	0.152091814	0.002697533	0.016250593	0.00148773	0.000212533	0.527048899	0.023444014	0.28353524	0.001291546	0.00434875	3.27E-05	0.009498586	0.002697533	0.016250593	0.002811974	0.527048899	0.023444014	0.28353524	0.00148773	0.001291546	1.63E-05	0.00434875	0.000212533	0.009498586	0.002697533	0.016250593	0.002811974	0.009335099	0.409485507	0.004463191	0.000130789	0.00148773	0.001291546	1.63E-05	0.00434875	0.124364445	0.007667533	0.046021548	1.63E-05	0.071525496	0.139078261	0.000212533	0.022888159	0.000163487	0.002697533	0.016250593	0.00783102	0.002811974	0.002697533	0.071525496	4.90E-05	3.27E-05	0.409485507	0.025634738	0.000147138	0.008386875	0.002370559	0	0.000114441	0.007667533	0.001046316	0.000359671	0.000261579	0.004463191	0.0012425	0.002092632	0.002027237	0	1.63E-05	0.063334805	0.00024523	4.90E-05	0.068010529	0.004201612	0.008926382	0.016103454	0.02287181	0.009237007	1.63E-05	0.000130789	0.009138915	0.004495888	0.000147138	0.000163487	0.016250593	0.00783102	9.81E-05	0.00024523	0.001896447	0.002811974	0.034087008	1.63E-05	0.059394772
ZM8YXDM-12	0.001690268	0.6151448	0.337828194	0.042744995	0	0.002591744	0.001690268	0.000187808	0.6151448	0.041768396	0.32577095	0.000863915	0.007399617	0	0.002929798	0	0.002591744	0.001540022	0.6151448	0.041768396	0.32577095	0.001652706	0.000863915	0	0.007399617	0.000187808	0.002929798	0	0.002591744	0.001540022	0.002929798	0.492393795	0	0.000187808	0.001652706	0.000863915	0	0.007399617	0.187845096	0.000112685	0.034180971	0.035983924	0.05258611	0.137512677	0.000150246	0.041768396	0	0	0.002591744	0.000112685	0.001540022	0	0.05258611	3.76E-05	0.000112685	0.492393795	0	0.000863915	0.057055929	0.003643466	0.000826353	0.000262931	0.000112685	0.001201968	0.003192728	0.002591744	0	0.000976599	0	0.004169327	0.000150246	0.000713669	0.108515194	0.000788792	0	0.064493107	0.007249371	0.003718589	0.025992563	0.041768396	0.002929798	0	0	0.011043083	0.007775232	0.000112685	0	0.002591744	0.000112685	7.51E-05	0.000525861	0.00548398	0.001540022	0.045224054	0.000112685	0.012770912
ZM7JY3G-01	0.003706323	0.563409817	0.340152642	0.002072615	0.000146302	0.090390383	0.003706323	0.002194533	0.563409817	0	0.321377191	0.001194801	0.007875936	0.000829046	0.007680866	0.000146302	0.090390383	0.001024115	0.563409817	0	0.321377191	0.003511253	0.001194801	0.000292604	0.007875936	0.002121382	0.007680866	0.000146302	0.090390383	0.001024115	0.00638853	0.480651533	0.000146302	0.00046329	0.003511253	0.001194801	0.000292604	0.007875936	0.12923362	0.002535905	0.030504011	0.02996757	0.021116286	0.149886616	0.002072615	0	0.001292336	0.000146302	0.090390383	0.039111458	0.001024115	0.000146302	0.021116286	0.000170686	4.88E-05	0.480651533	0.006632367	0.001194801	0.010533759	0.003535637	0.004242764	0.003511253	0.002535905	0	0.002048231	9.75E-05	0.000146302	0.00112165	0.013094048	0.005852088	0.001365487	0.004852357	0.046036429	0.000780278	2.44E-05	0.051303309	0.001219185	0.01502036	0.018409695	0	2.44E-05	0.011484724	0.000121919	0.018434079	0.005852088	0.002072615	0.001267953	0.090390383	0.039111458	0.000390139	0.000950964	0.002974812	0.001024115	0.027431665	0	0.074857965
ZM7JY3G-02	0.010631257	0.185984943	0.671196327	0.005232895	2.07E-05	0.126147928	0.010631257	0.047509721	0.185984943	0.0001241	0.55913378	0.002709523	0.031397369	0.002316538	0.025378506	2.07E-05	0.126147928	0.00777695	0.185984943	8.27E-05	0.55913378	0.010196906	0.002709523	2.07E-05	0.031397369	0.047220154	0.025378506	2.07E-05	0.126147928	0.00777695	0.007321916	0.172706213	2.07E-05	0.0001241	0.010196906	0.002709523	2.07E-05	0.031397369	0.135807065	0.314656242	0.004115992	0.006370481	0.002750889	0.087056342	0.045917101	6.21E-05	0.01805659	2.07E-05	0.126147928	0.021448664	0.00777695	2.07E-05	0.002750889	0	6.21E-05	0.172706213	0.000144784	0.002709523	0.026598825	0.009369571	0.000206834	0.000268884	0.314656242	0	0.000517084	0.000434351	2.07E-05	0.004322826	0.007694217	0.020952263	0.000785968	0.022234632	0.059837015	0.000723918	0	0.044200381	0	0.000765285	0.003764375	6.21E-05	0	0.001199636	0	0.017125838	0.008500869	0.045875734	0.017787706	0.126147928	0.021448664	6.21E-05	0.004922644	0.009017953	0.00777695	0.017973856	0	0.0075908
ZM7JY3G-04	0.012344702	0.492996756	0.463163726	0.002611379	7.91E-05	0.027696447	0.012344702	0.003956635	0.492996756	3.96E-05	0.398631004	0.001582654	0.032444409	0.000791327	0.026153359	7.91E-05	0.027696447	0.001978318	0.492996756	3.96E-05	0.398631004	0.011869906	0.001582654	0.000118699	0.032444409	0.003956635	0.026153359	7.91E-05	0.027696447	0.001978318	0.025638997	0.446545857	0.001582654	0.000316531	0.011869906	0.001582654	0.000118699	0.032444409	0.165308222	0.090053019	0.026351191	0.003837936	0.016103506	0.134921263	0.003758804	0	0.000514363	7.91E-05	0.027696447	0.006330616	0.001978318	7.91E-05	0.016103506	0	7.91E-05	0.446545857	0.001780486	0.001582654	0.047123526	0.003165308	0.00130569	0.004629263	0.090053019	0	0.000672628	0.000158265	0.001582654	0.006924112	0.008981562	0.013215162	0.001820052	0.010920313	0.05499723	0.000514363	0	0.053454143	0.000712194	0.001384822	0.022552821	0	0	0.000712194	3.96E-05	0.018200522	0.042256865	0.003402706	0.000514363	0.027696447	0.006330616	0.000197832	0.003046609	0.019901875	0.001978318	0.023146316	0	0.027894279
ZM7JY3G-05	0.004791615	0.414075368	0.550786124	0.002795109	0.000349389	0.026803095	0.004791615	0.001247816	0.414075368	0.000249563	0.489243823	0.000299476	0.055452957	0.002246069	0.002345895	0.000349389	0.026803095	0.002495633	0.414075368	0.000249563	0.489193911	0.004542051	0.000299476	0.002096331	0.055452957	0.001197904	0.002345895	0.000349389	0.026803095	0.002495633	0.002345895	0.321138008	9.98E-05	0.001197904	0.004542051	0.000299476	0.002096331	0.055452957	0.299126529	0.013426504	0.043973047	0.019815323	0.025954579	0.15842276	0.001197904	0.000249563	0	0.000349389	0.026803095	0.016870477	0.002495633	0.000349389	0.025954579	0.000149738	9.98E-05	0.321138008	0.004192663	0.000299476	0.065734964	0.002944847	0.001247816	0.003344148	0.013426504	0	0.000898428	0.000299476	9.98E-05	0.002345895	0.029198902	0.026703269	0.000798602	0.038981782	0.09049164	0.000998253	0	0.079610681	0.002246069	0.00414275	0.035887197	0.000199651	0	0.001946593	4.99E-05	0.038532568	0.018916895	0.001147991	0	0.026803095	0.016870477	0.001098078	0.001397554	0.016121787	0.002495633	0.057249813	4.99E-05	0.037234839
ZM7JY3G-07	0.001421531	0.612158832	0.334059894	0.008481804	9.48E-05	0.013172858	0.001421531	0.00075815	0.612158832	0.006965504	0.313163381	4.74E-05	0.015494693	0.001468916	0.001990144	9.48E-05	0.013172858	0.002653525	0.612158832	0.006965504	0.313163381	0.001374147	4.74E-05	0.001468916	0.015494693	0.000710766	0.001990144	9.48E-05	0.013172858	0.002653525	0.001990144	0.452141774	0.000142153	0.000473844	0.001374147	4.74E-05	0.001468916	0.015494693	0.13613533	0.012793783	0.077189158	0.017437453	0.065343063	0.145043594	4.74E-05	0.006965504	0	9.48E-05	0.013172858	0.018574678	0.002653525	9.48E-05	0.065343063	4.74E-05	0.000142153	0.452141774	0.025066338	4.74E-05	0.0218442	0.001895375	0.00497536	0.000236922	0.012793783	0	0.000805534	4.74E-05	0.000142153	0.000710766	0.007771039	0.004833207	0.000473844	0.010140258	0.05904094	0.000331691	9.48E-05	0.048616376	0.005543973	0.01146702	0.041508719	0.006965504	0	0.00421721	0	0.018148218	0.01686884	4.74E-05	0	0.013172858	0.018574678	0.000331691	0.000189538	0.005259666	0.002653525	0.033453374	9.48E-05	0.055060652
ZM7JY3G-08	0.004603193	0.648758886	0.334488987	0.005069339	0	0.004981937	0.004603193	0.000407878	0.648758886	0.005069339	0.303577672	0	0.016402517	0	0.012964689	0	0.004981937	0.001136231	0.648758886	0.005069339	0.303577672	0.004603193	0	0	0.016402517	0.000407878	0.012964689	0	0.004981937	0.001136231	0.01276075	0.547372101	0	5.83E-05	0.004603193	0	0	0.016402517	0.160325137	0.001019695	0.022520685	0.07196131	0.006846521	0.139902109	8.74E-05	0.005069339	0.000203939	0	0.004981937	0.002272462	0.001136231	0	0.006846521	5.83E-05	5.83E-05	0.547372101	0.00134017	0	0.009847337	0.000553549	0.001223634	0.000116537	0.001019695	0	0.002097658	0.000437012	0	0.004224449	0.002301597	0.003233889	2.91E-05	0.008448899	0.106164783	0.000291341	0	0.040933458	0.001922853	0.00183545	0.018034029	0.005069339	2.91E-05	0.030182962	5.83E-05	0.071524298	0.011974129	8.74E-05	0.000203939	0.004981937	0.002272462	0	0.00034961	0.007924484	0.001136231	0.029396341	0	0.01882065
ZM7JY3G-09	0.009422255	0.50953716	0.434710668	0.028312727	0	0.016385531	0.009422255	0.000965207	0.50953716	0.028151859	0.406237073	0.000160868	0.018040171	0	0.008985614	0	0.016385531	0.000482603	0.50953716	0.028151859	0.406145149	0.009422255	0.000160868	0	0.018040171	0.000965207	0.008985614	0	0.016385531	0.000482603	0.008962633	0.365813301	2.30E-05	0.000551547	0.009422255	0.000160868	0	0.018040171	0.195270488	0.002849658	0.099186469	0.021395413	0.020476169	0.196442524	0.00020683	0.028151859	2.30E-05	0	0.016385531	0.011007951	0.000482603	0	0.020476169	2.30E-05	0.000367698	0.365813301	0.021671186	0.000160868	0.026175484	0.000528566	0.002298111	0.000965207	0.002849658	0	0.001539734	0.001631659	2.30E-05	0.008801765	0.010732178	0.006503654	0.000183849	0.014271269	0.101921221	0.000689433	0	0.075332077	0.003791883	0.01160546	0.071425288	0.028151859	0	0.002849658	0.000183849	0.031828837	0.0265202	0.000183849	2.30E-05	0.016385531	0.011007951	0.000183849	0.00041366	0.003699959	0.000482603	0.041365997	0	0.05384474
